DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
5001,MEDELLÍN,1413,3014,2131.7,1601,1523
5002,ABEJORRAL,624,2536,1622.1,1912,2099
5004,ABRIAQUÍ,1449,3406,2575.6,1957,2055
5021,ALEJANDRÍA,1203,1945,1482.1,742,1466
5030,AMAGÁ,820,2120,1394,1300,1545
5031,AMALFI,127,1770,827.9,1643,1425
5034,ANDES,1044,3608,1993.5,2564,1821
5036,ANGELÓPOLIS,955,2920,1707.4,1965,1609
5038,ANGOSTURA,1340,2766,2040.7,1426,1881
5040,ANORÍ,68,1101,455.7,1033,1101
5042,SANTA FÉ DE ANTIOQUIA,423,3326,1483.9,2903,1846
5044,ANZÁ,479,2765,1380.5,2286,1469
5045,APARTADÓ,2,1094,189.5,1092,322
5051,ARBOLETES,0,251,80.9,251,58
5055,ARGELIA,290,2303,943.9,2013,1049
5059,ARMENIA,497,1854,896.1,1357,1380
5079,BARBOSA,1301,2510,2086.6,1209,1301
5086,BELMIRA,2439,3203,2782.4,764,2811
5088,BELLO,1419,3095,2058.6,1676,2076
5091,BETANIA,995,3642,1705.3,2647,1274
5093,BETULIA,505,3328,1971.4,2823,1675
5101,CIUDAD BOLÍVAR,723,3344,1768.9,2621,1163
5107,BRICEÑO,182,2423,1125,2241,1505
5113,BURITICÁ,383,3060,1838,2677,1468
5120,CÁCERES,44,1003,171.3,959,138
5125,CAICEDO,1026,3607,2687.2,2581,2246
5129,CALDAS,1502,2969,2189.7,1467,1825
5134,CAMPAMENTO,608,2341,1195.6,1733,1485
5138,CAÑASGORDAS,820,2911,1746,2091,1785
5142,CARACOLÍ,146,984,589.5,838,729
5145,CARAMANTA,644,3098,1694.9,2454,1852
5147,CAREPA,4,944,128.9,940,31
5148,EL CARMEN DE VIBORAL,1102,2714,2133.9,1612,2376
5150,CAROLINA,1658,2522,2012.9,864,2118
5154,CAUCASIA,33,140,60.5,107,74
5172,CHIGORODÓ,5,1144,76,1139,52
5190,CISNEROS,873,1750,1317.6,877,1452
5197,COCORNÁ,544,2365,1528.2,1821,1258
5206,CONCEPCIÓN,1555,2477,1977,922,1889
5209,CONCORDIA,507,2401,1531.7,1894,1830
5212,COPACABANA,1413,2804,2216.3,1391,1413
5234,DABEIBA,159,2668,1144.1,2509,897
5237,DONMATÍAS,1051,2713,1822.3,1662,2266
5240,EBÉJICO,460,2511,1109.4,2051,1229
5250,EL BAGRE,32,648,204.6,616,248
5264,ENTRERRÍOS,2270,3115,2556.8,845,2419
5266,ENVIGADO,1521,2888,2286.6,1367,2366
5282,FREDONIA,541,2239,1274.2,1698,1591
5284,FRONTINO,182,3044,1346.4,2862,967
5306,GIRALDO,1010,2720,1689.9,1710,2118
5308,GIRARDOTA,1324,2531,1872.2,1207,1390
5310,GÓMEZ PLATA,678,2067,1241.9,1389,1845
5313,GRANADA,734,2443,1719.6,1709,1855
5315,GUADALUPE,643,2082,1410.2,1439,1597
5318,GUARNE,2092,2604,2344.5,512,2119
5321,GUATAPÉ,1871,2250,1939.8,379,1885
5347,HELICONIA,735,2763,1504.2,2028,1304
5353,HISPANIA,704,1830,1174.8,1126,993
5360,ITAGÜÍ,1512,2094,1675.4,582,1643
5361,ITUANGO,152,2870,1352.7,2718,2512
5364,JARDÍN,1373,3107,2136.7,1734,2174
5368,JERICÓ,553,2437,1703.5,1884,1847
5376,LA CEJA,1318,2622,2243.1,1304,2318
5380,LA ESTRELLA,1632,2881,2030.5,1249,1947
5390,LA PINTADA,579,1308,735,729,618
5400,LA UNIÓN,2122,2683,2466.1,561,2452
5411,LIBORINA,389,3234,1993.1,2845,1596
5425,MACEO,223,953,588.6,730,843
5440,MARINILLA,1907,2399,2104.2,492,2158
5467,MONTEBELLO,839,2181,1555.5,1342,2181
5475,MURINDÓ,3,1531,375,1528,41
5480,MUTATÁ,25,1960,451.4,1935,433
5483,NARIÑO,502,2952,1032,2450,1584
5490,NECOCLÍ,0,180,68.7,180,40
5495,NECHÍ,25,386,88.3,361,35
5501,OLAYA,441,3185,1242.2,2744,1072
5541,PEÑOL,1881,2421,2047.1,540,1881
5543,PEQUE,296,3544,1841.3,3248,1859
5576,PUEBLORRICO,577,2349,1354.3,1772,1527
5579,PUERTO BERRÍO,104,851,384.8,747,329
5585,PUERTO NARE,118,938,234,820,379
5591,PUERTO TRIUNFO,131,389,191,258,162
5604,REMEDIOS,85,719,422.3,634,549
5607,RETIRO,1804,2961,2376.3,1157,2182
5615,RIONEGRO,2077,2621,2219.2,544,2111
5628,SABANALARGA,276,2927,1111.7,2651,1398
5631,SABANETA,1554,2443,1757.3,889,1704
5642,SALGAR,577,3278,2106.5,2701,1436
5647,SAN ANDRÉS DE CUERQUÍA,568,3039,2104.5,2471,1715
5649,SAN CARLOS,155,2132,984.8,1977,1010
5652,SAN FRANCISCO,308,1851,718.2,1543,584
5656,SAN JERÓNIMO,535,2827,1565.1,2292,1340
5658,SAN JOSÉ DE LA MONTAÑA,2092,3133,2656.5,1041,2897
5659,SAN JUAN DE URABÁ,4,187,65,183,44
5660,SAN LUIS,235,1618,688.2,1383,664
5664,SAN PEDRO DE LOS MILAGROS,2278,3026,2599.3,748,2460
5665,SAN PEDRO DE URABÁ,56,602,155.7,546,89
5667,SAN RAFAEL,586,2263,1305.5,1677,976
5670,SAN ROQUE,583,1796,1070.6,1213,1184
5674,SAN VICENTE FERRER,1934,2515,2261.6,581,2315
5679,SANTA BÁRBARA,654,2696,1490.8,2042,1446
5686,SANTA ROSA DE OSOS,1053,2943,2311.5,1890,2547
5690,SANTO DOMINGO,864,2132,1451.6,1268,1901
5697,EL SANTUARIO,1885,2342,2173.3,457,2171
5736,SEGOVIA,174,1561,582.5,1387,296
5756,SONSÓN,176,3064,1374.5,2888,1791
5761,SOPETRÁN,445,3002,1247.2,2557,736
5789,TÁMESIS,568,3159,1797.7,2591,1542
5790,TARAZÁ,80,1679,404,1599,330
5792,TARSO,543,2136,1050,1593,1265
5809,TITIRIBÍ,537,1678,931.5,1141,1678
5819,TOLEDO,255,2377,903.5,2122,2081
5837,TURBO,0,239,72,239,0
5842,URAMITA,562,3043,1486.4,2481,805
5847,URRAO,188,3429,2089.4,3241,2055
5854,VALDIVIA,97,2205,962.8,2108,800
5856,VALPARAÍSO,594,2364,990.2,1770,844
5858,VEGACHÍ,358,1345,781.9,987,811
5861,VENECIA,529,2113,1074.8,1584,1208
5873,VIGÍA DEL FUERTE,6,1480,226,1474,27
5885,YALÍ,337,1379,819.7,1042,959
5887,YARUMAL,717,2996,1792.1,2279,2444
5890,YOLOMBÓ,200,1703,1017,1503,1180
5893,YONDÓ,64,506,129.8,442,106
5895,ZARAGOZA,39,565,112,526,105
8001,BARRANQUILLA,0,83,24.1,83,62
8078,BARANOA,75,285,131.7,210,116
8137,CAMPO DE LA CRUZ,2,9,6.3,7,4
8141,CANDELARIA,5,96,32.9,91,24
8296,GALAPA,37,278,114.5,241,91
8372,JUAN DE ACOSTA,0,213,51.5,213,61
8421,LURUACO,0,145,40.5,145,137
8433,MALAMBO,2,133,72.8,131,48
8436,MANATÍ,2,144,30,142,5
8520,PALMAR DE VARELA,5,52,24,47,16
8549,PIOJÓ,0,234,71.6,234,59
8558,POLONUEVO,40,128,75.1,88,77
8560,PONEDERA,2,72,38.3,70,26
8573,PUERTO COLOMBIA,0,119,26.4,119,31
8606,REPELÓN,4,411,87,407,17
8634,SABANAGRANDE,1,48,21.4,47,18
8638,SABANALARGA,4,141,71.1,137,104
8675,SANTA LUCÍA,1,10,6.2,9,8
8685,SANTO TOMÁS,5,59,33.4,54,30
8758,SOLEDAD,2,87,30.2,85,20
8770,SUAN,4,10,6.3,6,6
8832,TUBARÁ,0,280,76.3,280,257
8849,USIACURÍ,42,266,124.9,224,125
11001,"BOGOTÁ, D.C.",2299,3998,3102.8,1699,3536
13001,CARTAGENA DE INDIAS,0,99,14.8,99,4
13006,ACHÍ,9,1020,63.9,1011,25
13030,ALTOS DEL ROSARIO,13,196,54.2,183,22
13042,ARENAL,36,1649,563,1613,1091
13052,ARJONA,2,123,36.6,121,63
13062,ARROYOHONDO,5,159,39.3,154,36
13074,BARRANCO DE LOBA,17,365,72.8,348,22
13140,CALAMAR,2,225,54.9,223,46
13160,CANTAGALLO,62,881,319.5,819,277
13188,CICUCO,7,20,10.8,13,16
13212,CÓRDOBA,8,171,72.3,163,23
13222,CLEMENCIA,41,359,108.5,318,83
13244,EL CARMEN DE BOLÍVAR,56,436,208.5,380,275
13248,EL GUAMO,2,349,107.7,347,41
13268,EL PEÑÓN,24,36,29,12,25
13300,HATILLO DE LOBA,16,35,23.6,19,24
13430,MAGANGUÉ,10,80,26.5,70,18
13433,MAHATES,0,134,56.6,134,34
13440,MARGARITA,12,26,18.8,14,23
13442,MARÍA LA BAJA,2,107,44.9,105,5
13458,MONTECRISTO,20,1488,483.1,1468,216
13468,MOMPÓS,8,18,13.7,10,14
13473,MORALES,31,1741,487.5,1710,159
13490,NOROSÍ,34,911,180.6,877,336
13549,PINILLOS,10,22,16,12,13
13580,REGIDOR,27,115,34.6,88,34
13600,RÍO VIEJO,30,926,202.4,896,83
13620,SAN CRISTÓBAL,1,13,6.2,12,13
13647,SAN ESTANISLAO,1,276,82.8,275,50
13650,SAN FERNANDO,13,22,18.5,9,21
13654,SAN JACINTO,55,446,232.7,391,266
13655,SAN JACINTO DEL CAUCA,20,392,48.4,372,27
13657,SAN JUAN NEPOMUCENO,11,349,154.5,338,313
13667,SAN MARTÍN DE LOBA,24,583,108.2,559,128
13670,SAN PABLO,47,1189,405,1142,930
13673,SANTA CATALINA,1,327,72.3,326,16
13683,SANTA ROSA,19,122,70.6,103,57
13688,SANTA ROSA DEL SUR,314,1578,692.8,1264,1137
13744,SIMITÍ,44,1047,417.4,1003,48
13760,SOPLAVIENTO,1,40,10.9,39,2
13780,TALAIGUA NUEVO,7,16,11.4,9,9
13810,TIQUISIO,13,1013,187.7,1000,24
13836,TURBACO,13,126,67.5,113,114
13838,TURBANÁ,0,136,32.6,136,14
13873,VILLANUEVA,53,284,129.7,231,123
13894,ZAMBRANO,9,145,47.3,136,70
15001,TUNJA,2627,3184,2848,557,2941
15022,ALMEIDA,1254,2871,2012.8,1617,2216
15047,AQUITANIA,1244,3746,3010.3,2502,3440
15051,ARCABUCO,2221,3660,2829.8,1439,2630
15087,BELÉN,2590,3948,3170.2,1358,2838
15090,BERBEO,989,2580,1525.8,1591,1399
15092,BETÉITIVA,2285,3461,2841,1176,2721
15097,BOAVITA,1185,3031,2092.6,1846,2062
15104,BOYACÁ,2380,2992,2671.3,612,2393
15106,BRICEÑO,1139,3074,1998,1935,1595
15109,BUENAVISTA,755,3291,2179,2536,1853
15114,BUSBANZÁ,2488,2863,2693.6,375,2667
15131,CALDAS,2593,3020,2793.5,427,2710
15135,CAMPOHERMOSO,608,2628,1607.9,2020,994
15162,CERINZA,2667,3887,3203.5,1220,2864
15172,CHINAVITA,1491,3392,2275.3,1901,2332
15176,CHIQUINQUIRÁ,1949,3169,2598.9,1220,2542
15180,CHISCAS,1515,4608,3862.5,3093,3619
15183,CHITA,1191,4167,2851.3,2976,3047
15185,CHITARAQUE,1352,2380,1774.9,1028,2042
15187,CHIVATÁ,2617,3057,2770.9,440,2818
15189,CIÉNEGA,2157,3262,2598.1,1105,2622
15204,CÓMBITA,2583,3160,2848.7,577,3160
15212,COPER,557,2219,1336.8,1662,1287
15215,CORRALES,2345,3062,2625.5,717,2439
15218,COVARACHÍA,894,2725,1576.9,1831,2255
15223,CUBARÁ,314,3730,1733.8,3416,1685
15224,CUCAITA,2587,3223,2832.7,636,2879
15226,CUÍTIVA,2540,3467,2983.4,927,3106
15232,CHÍQUIZA,2239,3643,2996.2,1404,2929
15236,CHIVOR,760,3021,1796.5,2261,1721
15238,DUITAMA,2463,3925,2815.8,1462,3150
15244,EL COCUY,2579,4515,3692.4,1936,3372
15248,EL ESPINO,1723,3949,2764.1,2226,3046
15272,FIRAVITOBA,2476,3258,2727.8,782,2742
15276,FLORESTA,2482,3264,2934.9,782,2511
15293,GACHANTIVÁ,1940,2732,2209.7,792,2469
15296,GÁMEZA,2284,3913,3044.1,1629,3913
15299,GARAGOA,1252,2958,1960,1706,2331
15317,GUACAMAYAS,1658,3696,2476.3,2038,2689
15322,GUATEQUE,1349,2459,1901.5,1110,1916
15325,GUAYATÁ,1359,3113,2105.1,1754,1812
15332,GÜICÁN DE LA SIERRA,2465,4545,3883.9,2080,3919
15362,IZA,2502,3310,2815.8,808,2698
15367,JENESANO,2050,2863,2380.6,813,2175
15368,JERICÓ,1575,3860,2413.3,2285,2974
15377,LABRANZAGRANDE,610,3447,2031.7,2837,1117
15380,LA CAPILLA,1571,3409,2375,1838,2060
15401,LA VICTORIA,924,1992,1416.4,1068,1190
15403,LA UVITA,1551,4061,2719.7,2510,3020
15407,VILLA DE LEYVA,2048,2994,2292.2,946,2226
15425,MACANAL,1050,2629,1737.7,1579,2080
15442,MARIPÍ,423,2940,1248.9,2517,990
15455,MIRAFLORES,1022,3449,2333.8,2427,2285
15464,MONGUA,1283,3880,2698.4,2597,2662
15466,MONGUÍ,2640,3917,3212,1277,3308
15469,MONIQUIRÁ,1480,2789,2025.8,1309,1858
15476,MOTAVITA,2702,3289,3043.4,587,3135
15480,MUZO,465,1691,783.2,1226,756
15491,NOBSA,2473,3108,2569.9,635,2539
15494,NUEVO COLÓN,2276,2974,2718,698,2369
15500,OICATÁ,2589,2819,2685.2,230,2704
15507,OTANCHE,255,1546,637.2,1291,871
15511,PACHAVITA,1373,3101,1874.9,1728,1869
15514,PÁEZ,593,2574,1571.6,1981,1272
15516,PAIPA,2486,3493,2795.6,1007,3141
15518,PAJARITO,761,3571,2027,2810,1193
15522,PANQUEBA,2071,3733,2955.1,1662,2204
15531,PAUNA,364,2954,1307,2590,972
15533,PAYA,403,2284,1221.2,1881,1481
15537,PAZ DE RÍO,2092,3876,2885.6,1784,2637
15542,PESCA,2510,3763,3070.6,1253,3222
15550,PISBA,1079,3228,1960,2149,2081
15572,PUERTO BOYACÁ,123,977,247.9,854,171
15580,QUÍPAMA,538,1884,894.3,1346,1258
15599,RAMIRIQUÍ,2048,3012,2522.4,964,2956
15600,RÁQUIRA,2245,3433,2740,1188,2665
15621,RONDÓN,1513,3656,2979.1,2143,2006
15632,SABOYÁ,2329,3356,2790,1027,2595
15638,SÁCHICA,2078,2662,2272.7,584,2177
15646,SAMACÁ,2494,3471,2911.7,977,2762
15660,SAN EDUARDO,1258,3216,2223.1,1958,1843
15664,SAN JOSÉ DE PARE,1207,2127,1681.1,920,1795
15667,SAN LUIS DE GACENO,289,1878,924.7,1589,486
15673,SAN MATEO,1343,3741,2635.9,2398,2322
15676,SAN MIGUEL DE SEMA,2454,2817,2613.3,363,2545
15681,SAN PABLO DE BORBUR,337,1239,603.5,902,1184
15686,SANTANA,1038,2040,1453.2,1002,1488
15690,SANTA MARÍA,374,2525,935.2,2151,879
15693,SANTA ROSA DE VITERBO,2478,3916,3038,1438,2899
15696,SANTA SOFÍA,1942,3132,2278.4,1190,2358
15720,SATIVANORTE,1600,3776,2934.5,2176,2906
15723,SATIVASUR,1890,3688,2923.2,1798,3001
15740,SIACHOQUE,2692,3743,3070.2,1051,3133
15753,SOATÁ,1315,3397,2294.6,2082,2220
15755,SOCOTÁ,1388,3690,2748.5,2302,3461
15757,SOCHA,1893,3893,2885.5,2000,2883
15759,SOGAMOSO,2472,3868,2960.3,1396,3085
15761,SOMONDOCO,1262,2781,1881.3,1519,2049
15762,SORA,2523,3269,2930.5,746,2730
15763,SOTAQUIRÁ,2261,3534,2812.4,1273,2809
15764,SORACÁ,2302,3121,2831.4,819,2945
15774,SUSACÓN,1507,3847,2848.3,2340,2687
15776,SUTAMARCHÁN,2058,3422,2361.1,1364,2261
15778,SUTATENZA,1283,2467,1821.5,1184,1878
15790,TASCO,2213,3889,3078.1,1676,3712
15798,TENZA,1316,2447,1969.5,1131,1695
15804,TIBANÁ,1947,2790,2422.4,843,2021
15806,TIBASOSA,2475,2980,2572.5,505,2691
15808,TINJACÁ,2096,2911,2441.4,815,2225
15810,TIPACOQUE,1134,3306,2053.9,2172,1955
15814,TOCA,2671,3756,2935.6,1085,2843
15816,TOGÜÍ,1605,2545,1942.6,940,1986
15820,TÓPAGA,2437,3365,2746.9,928,2835
15822,TOTA,2582,3851,3185.3,1269,3150
15832,TUNUNGUÁ,534,1863,1168,1329,1154
15835,TURMEQUÉ,2282,3273,2822.1,991,2487
15837,TUTA,2541,3387,2734,846,2720
15839,TUTAZÁ,2579,3946,3167.9,1367,3166
15842,ÚMBITA,1826,3464,2637.5,1638,2470
15861,VENTAQUEMADA,2435,3447,2869.3,1012,2998
15879,VIRACACHÁ,2207,3535,2732.7,1328,2860
15897,ZETAQUIRA,1141,3494,2527.3,2353,1528
17001,MANIZALES,813,3735,1892.6,2922,2138
17013,AGUADAS,584,3217,1929.8,2633,2129
17042,ANSERMA,766,1897,1232.7,1131,1758
17050,ARANZAZU,1286,3717,2015.4,2431,2185
17088,BELALCÁZAR,850,1696,1063.2,846,1584
17174,CHINCHINÁ,867,1669,1299.9,802,1278
17272,FILADELFIA,726,1960,1238.7,1234,1177
17380,LA DORADA,147,384,216.1,237,200
17388,LA MERCED,699,2292,1263.9,1593,1446
17433,MANZANARES,1031,2311,1500.8,1280,1684
17442,MARMATO,680,2129,1357.3,1449,1685
17444,MARQUETALIA,578,1615,1067.3,1037,1615
17446,MARULANDA,1539,3755,2758.4,2216,2541
17486,NEIRA,737,3824,1780.7,3087,1752
17495,NORCASIA,185,992,417.9,807,547
17513,PÁCORA,696,3243,1733,2547,1995
17524,PALESTINA,808,1448,1077.3,640,1061
17541,PENSILVANIA,869,3491,1845.1,2622,2704
17614,RIOSUCIO,709,3228,1934.2,2519,2318
17616,RISARALDA,822,1800,1163.2,978,1188
17653,SALAMINA,1012,3348,2417.8,2336,2843
17662,SAMANÁ,311,1630,689.1,1319,1041
17665,SAN JOSÉ,933,1682,1116.3,749,1303
17777,SUPÍA,702,2980,1675.4,2278,1309
17867,VICTORIA,179,1067,331.3,888,261
17873,VILLAMARÍA,1365,4856,2634.1,3491,3168
17877,VITERBO,908,1430,1015.7,522,969
18001,FLORENCIA,222,3357,853,3135,503
18029,ALBANIA,225,280,244.6,55,255
18094,BELÉN DE LOS ANDAQUÍES,222,2692,792.3,2470,380
18150,CARTAGENA DEL CHAIRÁ,185,268,206.6,83,202
18205,CURILLO,211,253,230,42,221
18247,EL DONCELLO,216,3355,712.3,3139,306
18256,EL PAUJÍL,215,3409,712.2,3194,267
18410,LA MONTAÑITA,203,878,322.1,675,233
18460,MILÁN,196,280,222.2,84,219
18479,MORELIA,214,480,266.4,266,264
18592,PUERTO RICO,210,3214,826.3,3004,551
18610,SAN JOSÉ DEL FRAGUA,230,2764,1248.9,2534,1120
18753,SAN VICENTE DEL CAGUÁN,198,2710,593.5,2512,266
18756,SOLANO,93,241,185.6,148,241
18785,SOLITA,194,262,218.5,68,208
18860,VALPARAÍSO,212,268,234.1,56,241
19001,POPAYÁN,1389,2974,1972.1,1585,1743
19022,ALMAGUER,982,3379,2187.9,2397,2268
19050,ARGELIA,1374,3493,2875.1,2119,1408
19075,BALBOA,556,3354,1467.6,2798,2014
19100,BOLÍVAR,597,3005,1246,2408,1998
19110,BUENOS AIRES,985,2483,1391.1,1498,1280
19130,CAJIBÍO,1238,2966,1804.3,1728,1713
19137,CALDONO,1213,3127,1784,1914,1731
19142,CALOTO,969,2008,1138.7,1039,1168
19212,CORINTO,1009,4104,1768.8,3095,1739
19256,EL TAMBO,465,3112,1373.3,2647,1825
