DANE,municipio,altitude_min,altitude_max,altitude_mean,gradient_altitude,altitude_centroid
52411,LINARES,548,2412,1085.3,1864,1841
52418,LOS ANDES,88,3243,785.7,3155,894
52427,MAGÜÍ,18,406,95.7,388,98
52435,MALLAMA,1017,3811,2185.8,2794,2342
52473,MOSQUERA,0,19,5.6,19,9
52480,NARIÑO,2111,4069,2555.2,1958,2429
52490,OLAYA HERRERA,0,33,15.1,33,14
52506,OSPINA,1994,3495,2586.7,1501,2985
52520,FRANCISCO PIZARRO,-4,151,21.5,155,3
52540,POLICARPA,198,1633,477.3,1435,1272
52560,POTOSÍ,2166,3313,2829.1,1147,2889
52565,PROVIDENCIA,1637,3335,2456.3,1698,2500
52573,PUERRES,1504,3781,2697.3,2277,2055
52585,PUPIALES,2679,3590,2964.2,911,3104
52612,RICAURTE,303,2158,1072.8,1855,1567
52621,ROBERTO PAYÁN,11,155,40.6,144,26
52678,SAMANIEGO,201,3182,1201.7,2981,1833
52683,SANDONÁ,843,3814,1588.2,2971,1767
52685,SAN BERNARDO,1852,4006,2616.2,2154,2554
52687,SAN LORENZO,652,2484,1193.6,1832,2484
52693,SAN PABLO,1373,3235,2144.1,1862,2295
52694,SAN PEDRO DE CARTAGO,1587,2729,2163.7,1142,2489
52696,SANTA BÁRBARA,-5,896,131.6,901,108
52699,SANTACRUZ,360,3872,1621,3512,2045
52720,SAPUYES,2726,3898,3120.2,1172,3058
52786,TAMINANGO,469,1427,735.9,958,1060
52788,TANGUA,1774,3832,3021.5,2058,3362
52835,SAN ANDRÉS DE TUMACO,-2,368,40.4,370,15
52838,TÚQUERRES,1643,3746,2650.8,2103,3186
52885,YACUANQUER,1401,3643,2260,2242,2670
54001,SAN JOSÉ DE CÚCUTA,63,1408,228.6,1345,155
54003,ÁBREGO,462,3167,1725.8,2705,1692
54051,ARBOLEDAS,562,3758,1941.7,3196,1302
54099,BOCHALEMA,596,2810,1293,2214,1384
54109,BUCARASICA,438,2664,1373,2226,1873
54125,CÁCOTA,1724,3574,2585.9,1850,2528
54128,CÁCHIRA,148,3828,1689,3680,1698
54172,CHINÁCOTA,699,2685,1435.9,1986,1830
54174,CHITAGÁ,853,3671,2380.2,2818,2507
54206,CONVENCIÓN,64,1869,720.4,1805,786
54223,CUCUTILLA,823,3811,2089.5,2988,1765
54239,DURANIA,296,1951,881.5,1655,784
54245,EL CARMEN,78,1814,742.7,1736,650
54250,EL TARRA,73,1099,315.3,1026,430
54261,EL ZULIA,71,2022,344.1,1951,659
54313,GRAMALOTE,640,3190,1470.7,2550,1165
54344,HACARÍ,276,2106,1071.5,1830,598
54347,HERRÁN,1503,3055,2215.3,1552,2157
54377,LABATECA,1142,3499,1962.9,2357,2270
54385,LA ESPERANZA,49,2301,613.4,2252,114
54398,LA PLAYA,975,2206,1541.3,1231,1382
54405,LOS PATIOS,342,2443,679,2101,697
54418,LOURDES,625,3208,1332.6,2583,1296
54480,MUTISCUA,2096,3914,3118.7,1818,3047
54498,OCAÑA,863,2469,1431,1606,1371
54518,PAMPLONA,1565,3643,2591.8,2078,2897
54520,PAMPLONITA,1048,2979,2116.8,1931,1424
54553,PUERTO SANTANDER,42,67,55.8,25,54
54599,RAGONVALIA,880,2410,1570.9,1530,2155
54660,SALAZAR,386,3495,1660.5,3109,1850
54670,SAN CALIXTO,235,2283,923.9,2048,1734
54673,SAN CAYETANO,202,1420,481.5,1218,349
54680,SANTIAGO,306,2042,761.7,1736,576
54720,SARDINATA,64,1887,545.4,1823,457
54743,SILOS,2076,3993,3233,1917,3312
54800,TEORAMA,54,1744,766.9,1690,897
54810,TIBÚ,25,970,162.5,945,66
54820,TOLEDO,374,3114,1758,2740,1918
54871,VILLA CARO,968,3182,2186.2,2214,2377
54874,VILLA DEL ROSARIO,308,1777,552,1469,711
63001,ARMENIA,1115,1620,1339.5,505,1280
63111,BUENAVISTA,1098,2070,1297.1,972,1352
63130,CALARCÁ,1057,3407,1601.5,2350,1506
63190,CIRCASIA,1261,2111,1530.3,850,1647
63212,CÓRDOBA,1141,3689,2169.8,2548,2283
63272,FILANDIA,1332,2139,1642.7,807,1771
63302,GÉNOVA,1136,3844,2268,2708,2295
63401,LA TEBAIDA,1010,1218,1116.6,208,1128
63470,MONTENEGRO,971,1378,1184.2,407,1214
63548,PIJAO,1105,3805,2146.3,2700,2609
63594,QUIMBAYA,969,1530,1247.3,561,1237
63690,SALENTO,1537,4660,2775.4,3123,2387
66001,PEREIRA,894,4485,1809.2,3591,1359
66045,APÍA,1047,3189,1784.2,2142,1677
66075,BALBOA,892,1275,1021.7,383,1039
66088,BELÉN DE UMBRÍA,997,2904,1502.6,1907,1502
66170,DOSQUEBRADAS,1299,2051,1604.9,752,1438
66318,GUÁTICA,1148,2485,1862.9,1337,1741
66383,LA CELIA,1035,2711,1489.3,1676,1382
66400,LA VIRGINIA,888,1259,973.7,371,1059
66440,MARSELLA,859,1881,1215.7,1022,1399
66456,MISTRATÓ,1236,3552,2131.2,2316,1545
66572,PUEBLO RICO,306,3461,1441.6,3155,1126
66594,QUINCHÍA,756,2438,1530.6,1682,1760
66682,SANTA ROSA DE CABAL,1280,4483,2207.6,3203,2224
66687,SANTUARIO,897,3562,1520.2,2665,1737
68001,BUCARAMANGA,521,2158,1061,1637,707
68013,AGUADA,1029,2160,1676.8,1131,2080
68020,ALBANIA,875,3362,2112.7,2487,2360
68051,ARATOCA,478,1982,910.4,1504,1507
68077,BARBOSA,1450,2047,1651.1,597,1771
68079,BARICHARA,408,1739,1210.1,1331,1451
68081,BARRANCABERMEJA,67,125,89,58,70
68092,BETULIA,124,2081,651.6,1957,245
68101,BOLÍVAR,121,2422,455.5,2301,185
68121,CABRERA,522,1595,836.6,1073,924
68132,CALIFORNIA,1789,3596,2785.2,1807,2695
68147,CAPITANEJO,1017,2564,1654.7,1547,1300
68152,CARCASÍ,1518,4227,3272.1,2709,2888
68160,CEPITÁ,572,3132,1399.5,2560,1448
68162,CERRITO,1908,4370,3127,2462,3376
68167,CHARALÁ,1234,3287,2148.1,2053,1561
68169,CHARTA,952,3952,2295.6,3000,2306
68176,CHIMA,841,3321,1759.6,2480,1547
68179,CHIPATÁ,1276,2778,1790.6,1502,1794
68190,CIMITARRA,83,215,156.9,132,199
68207,CONCEPCIÓN,1700,4201,3194.5,2501,3449
68209,CONFINES,1199,1913,1676.8,714,1514
68211,CONTRATACIÓN,667,2795,1505.7,2128,2228
68217,COROMORO,1302,4045,2638.6,2743,2368
68229,CURITÍ,668,2143,1531.9,1475,1783
68235,EL CARMEN DE CHUCURI,102,3279,705,3177,543
68245,EL GUACAMAYO,537,2079,1273.3,1542,1980
68250,EL PEÑÓN,192,2824,981.4,2632,445
68255,EL PLAYÓN,182,2867,949.5,2685,937
68264,ENCINO,1380,3958,2630.2,2578,2351
68266,ENCISO,1094,3704,1900.4,2610,1995
68271,FLORIÁN,324,2772,1726.2,2448,1468
68276,FLORIDABLANCA,762,2521,1351.7,1759,1371
68296,GALÁN,423,2942,1555.6,2519,1082
68298,GÁMBITA,1562,3522,2329.4,1960,2263
68307,GIRÓN,130,1339,647.3,1209,1339
68318,GUACA,1286,4022,2554.9,2736,2706
68320,GUADALUPE,901,1739,1202,838,1470
68322,GUAPOTÁ,834,1705,1186.7,871,1340
68324,GUAVATÁ,1667,2093,1833,426,1971
68327,GÜEPSA,1263,1774,1384.2,511,1506
68344,HATO,751,3374,1760.7,2623,1748
68368,JESÚS MARÍA,1658,2558,2076.1,900,2003
68370,JORDÁN,395,1643,1076.9,1248,831
68377,LA BELLEZA,206,2681,1128,2475,733
68385,LANDÁZURI,152,1918,493.3,1766,1918
68397,LA PAZ,340,2164,1135.6,1824,1263
68406,LEBRIJA,122,1122,437.3,1000,589
68418,LOS SANTOS,316,1656,874.5,1340,1656
68425,MACARAVITA,1263,3484,2349.6,2221,2326
68432,MÁLAGA,1506,3557,2319.9,2051,2440
68444,MATANZA,952,2973,1774.6,2021,2201
68464,MOGOTES,769,3066,1740.9,2297,1691
68468,MOLAGAVITA,692,3571,2023.1,2879,2192
68498,OCAMONTE,1210,2161,1442.6,951,1490
68500,OIBA,1134,2139,1636.2,1005,1817
68502,ONZAGA,863,4030,2626.3,3167,2034
68522,PALMAR,582,1126,882.4,544,984
68524,PALMAS DEL SOCORRO,816,1802,1306.6,986,1387
68533,PÁRAMO,1121,1917,1584.7,796,1417
68547,PIEDECUESTA,719,3424,1661.2,2705,1836
68549,PINCHOTE,796,1830,1327.5,1034,1362
68572,PUENTE NACIONAL,1627,3303,2238.8,1676,1926
68573,PUERTO PARRA,76,248,102.6,172,132
68575,PUERTO WILCHES,38,146,61.7,108,53
68615,RIONEGRO,49,2142,571.3,2093,156
68655,SABANA DE TORRES,51,199,112.5,148,119
68669,SAN ANDRÉS,816,4104,2733.3,3288,2026
68673,SAN BENITO,1005,1554,1177,549,1319
68679,SAN GIL,829,1869,1434,1040,1411
68682,SAN JOAQUÍN,818,3545,1714.4,2727,2358
68684,SAN JOSÉ DE MIRANDA,1030,3139,1810.6,2109,1831
68686,SAN MIGUEL,1274,3363,2061,2089,2125
68689,SAN VICENTE DE CHUCURÍ,93,2683,439.4,2590,189
68705,SANTA BÁRBARA,1034,3690,2093.6,2656,1987
68720,SANTA HELENA DEL OPÓN,265,2773,837,2508,750
68745,SIMACOTA,80,3032,583.5,2952,210
68755,SOCORRO,646,1837,1263.7,1191,1477
68770,SUAITA,1026,1987,1522.9,961,1490
68773,SUCRE,159,2763,1256,2604,1270
68780,SURATÁ,1079,3692,2587.2,2613,1895
68820,TONA,1019,3950,2917.3,2931,3383
68855,VALLE DE SAN JOSÉ,1144,2003,1382.4,859,1633
68861,VÉLEZ,172,2591,1114,2419,956
68867,VETAS,2385,4025,3442.5,1640,3192
68872,VILLANUEVA,332,1691,1205.6,1359,1444
68895,ZAPATOCA,235,2515,1068.2,2280,1664
70001,SINCELEJO,24,194,119.5,170,132
70110,BUENAVISTA,36,115,73.6,79,82
70124,CAIMITO,17,63,31.6,46,25
70204,COLOSÓ,43,505,160.5,462,164
70215,COROZAL,80,203,145.1,123,124
70221,COVEÑAS,-2,47,9.2,49,0
70230,CHALÁN,74,585,250.9,511,585
70233,EL ROBLE,33,131,72.5,98,72
70235,GALERAS,20,79,44.2,59,63
70265,GUARANDA,17,35,23.4,18,21
70400,LA UNIÓN,29,93,56.2,64,52
70418,LOS PALMITOS,142,279,185.1,137,201
70429,MAJAGUAL,14,25,20.1,11,16
70473,MORROA,70,206,161,136,128
70508,OVEJAS,96,481,249.9,385,229
70523,PALMITO,2,83,42.7,81,34
70670,SAMPUÉS,77,178,128.7,101,128
70678,SAN BENITO ABAD,11,54,24.6,43,12
70702,SAN JUAN DE BETULIA,105,213,149,108,127
70708,SAN MARCOS,16,87,39.1,71,22
70713,SAN ONOFRE,0,316,49,316,63
70717,SAN PEDRO,79,200,135.5,121,141
70742,SAN LUIS DE SINCÉ,59,189,122,130,103
70771,SUCRE,10,20,14.8,10,17
70820,SANTIAGO DE TOLÚ,0,36,9.1,36,10
70823,SAN JOSÉ DE TOLUVIEJO,13,284,80.7,271,58
73001,IBAGUÉ,473,4116,1633.3,3643,1267
73024,ALPUJARRA,441,1939,991.7,1498,1306
73026,ALVARADO,266,1556,772.8,1290,488
73030,AMBALEMA,207,331,255.7,124,249
73043,ANZOÁTEGUI,872,4702,2314.1,3830,3400
73055,ARMERO,209,1247,392.3,1038,307
73067,ATACO,473,1821,976.7,1348,1410
73124,CAJAMARCA,1416,3806,2855.9,2390,2874
73148,CARMEN DE APICALÁ,271,1099,510.1,828,317
73152,CASABIANCA,1065,4201,1803.1,3136,2223
73168,CHAPARRAL,415,3937,1948.6,3522,1139
73200,COELLO,224,900,538.9,676,628
73217,COYAIMA,302,1106,491.5,804,345
73226,CUNDAY,361,2061,948.7,1700,775
73236,DOLORES,631,2831,1425.4,2200,1720
73268,ESPINAL,259,410,320.8,151,322
73270,FALAN,268,1291,683.1,1023,923
73275,FLANDES,258,326,284.9,68,295
73283,FRESNO,781,2260,1209,1479,1641
73319,GUAMO,268,766,381.4,498,334
73347,HERVEO,1313,4081,2252.9,2768,2506
73349,HONDA,198,758,348.1,560,306
73352,ICONONZO,448,2253,1067.1,1805,1752
73408,LÉRIDA,250,1389,577.7,1139,355
73411,LÍBANO,722,2527,1313.3,1805,994
73443,SAN SEBASTIÁN DE MARIQUITA,289,1307,640.8,1018,690
73449,MELGAR,271,1597,451.1,1326,424
73461,MURILLO,1649,4482,2500,2833,2665
73483,NATAGAIMA,315,1297,755.9,982,358
73504,ORTEGA,312,2729,804.9,2417,454
73520,PALOCABILDO,782,1725,1137.1,943,1369
73547,PIEDRAS,233,907,561.9,674,516
73555,PLANADAS,820,4108,2456.5,3288,2521
73563,PRADO,289,1390,706.1,1101,415
73585,PURIFICACIÓN,273,1538,431,1265,563
73616,RIOBLANCO,592,4148,2736.7,3556,2010
73622,RONCESVALLES,1194,4038,2596.5,2844,2781
73624,ROVIRA,561,3655,1652.9,3094,1692
73671,SALDAÑA,288,344,316.1,56,309
73675,SAN ANTONIO,1018,3005,1820.9,1987,2340
73678,SAN LUIS,309,1500,541.8,1191,459
73686,SANTA ISABEL,855,4425,2564,3570,3111
73770,SUÁREZ,255,1139,546.4,884,320
73854,VALLE DE SAN JUAN,523,1561,958.4,1038,681
73861,VENADILLO,225,2026,655,1801,333
73870,VILLAHERMOSA,936,3598,1785.5,2662,2433
73873,VILLARRICA,587,2974,1678,2387,1841
76001,CALI,948,3663,1458.3,2715,1193
76020,ALCALÁ,940,1581,1233.8,641,1228
76036,ANDALUCÍA,923,1899,1032.6,976,1042
76041,ANSERMANUEVO,901,2484,1294,1583,1050
76054,ARGELIA,1074,2116,1498.9,1042,1481
76100,BOLÍVAR,174,3148,1321.7,2974,1461
76109,BUENAVENTURA,0,3230,319.4,3230,58
76111,GUADALAJARA DE BUGA,933,3821,2033.9,2888,2728
76113,BUGALAGRANDE,916,1481,1075.7,565,1072
76122,CAICEDONIA,1028,2334,1225.2,1306,1367
76126,CALIMA,122,3686,1798.2,3564,1308
76130,CANDELARIA,948,998,976.1,50,969
76147,CARTAGO,898,1394,995.9,496,948
76233,DAGUA,249,2600,1373.6,2351,1582
76243,EL ÁGUILA,1007,3354,1795.7,2347,1697
76246,EL CAIRO,1113,2630,1756.9,1517,1616
76248,EL CERRITO,942,4057,1600,3115,1387
76250,EL DOVIO,741,2227,1487.7,1486,1347
76275,FLORIDA,990,4077,1743,3087,1703
76306,GINEBRA,976,3870,1778.2,2894,1526
76318,GUACARÍ,945,2400,1135.4,1455,1009
76364,JAMUNDÍ,955,3874,1532.5,2919,1275
76377,LA CUMBRE,785,2102,1418.5,1317,1444
76400,LA UNIÓN,907,1803,1369.3,896,960
76403,LA VICTORIA,909,1368,1029.5,459,970
76497,OBANDO,905,1466,1032.3,561,961
76520,PALMIRA,949,4035,1763.3,3086,1129
76563,PRADERA,987,4058,1904.6,3071,1483
76606,RESTREPO,931,1802,1305.1,871,1395
76616,RIOFRÍO,926,3071,1283.3,2145,1208
76622,ROLDANILLO,909,2222,1496.9,1313,1182
76670,SAN PEDRO,928,2485,1243.4,1557,1123
76736,SEVILLA,963,3873,1652.8,2910,2125
76823,TORO,905,2080,1359.9,1175,1199
76828,TRUJILLO,924,3152,1538.8,2228,1784
76834,TULUÁ,923,3753,1878.9,2830,2730
76845,ULLOA,930,1551,1203.8,621,1226
76863,VERSALLES,962,2311,1510,1349,1078
76869,VIJES,945,1748,1378.6,803,1662
76890,YOTOCO,931,1779,1198.1,848,976
76892,YUMBO,945,2146,1347.6,1201,1230
76895,ZARZAL,911,1350,1028,439,950
81001,ARAUCA,94,143,117.5,49,122
81065,ARAUQUITA,125,167,143.1,42,156
81220,CRAVO NORTE,73,114,101.8,41,99
81300,FORTUL,169,4198,1227.8,4029,412
81591,PUERTO RONDÓN,118,156,136.9,38,129
81736,SARAVENA,173,1724,528.3,1551,210
81794,TAME,145,4954,1675.1,4809,439
85001,YOPAL,170,1995,419.5,1825,213
85010,AGUAZUL,188,1799,395.3,1611,264
85015,CHÁMEZA,744,3316,2032.4,2572,1288
85125,HATO COROZAL,88,607,160,519,139
85136,LA SALINA,1186,4426,2769.5,3240,2238
85139,MANÍ,141,213,175.3,72,167
85162,MONTERREY,194,2018,554.5,1824,464
85225,NUNCHÍA,179,1008,301.2,829,231
85230,OROCUÉ,116,179,150.5,63,146
85250,PAZ DE ARIPORO,95,1256,203.7,1161,124
85263,PORE,172,1293,341.4,1121,217
85279,RECETOR,585,3368,1336,2783,1333
85300,SABANALARGA,249,1657,575.5,1408,594
85315,SÁCAMA,618,3004,1566.1,2386,1392
85325,SAN LUIS DE PALENQUE,109,199,159.1,90,154
85400,TÁMARA,393,3110,1303.4,2717,1076
85410,TAURAMENA,151,2404,329.4,2253,195
85430,TRINIDAD,109,187,148.5,78,137
85440,VILLANUEVA,162,263,191,101,190
86001,MOCOA,304,3468,1143.2,3164,1200
86219,COLÓN,2068,3127,2555.8,1059,2550
86320,ORITO,286,3880,989.7,3594,424
86568,PUERTO ASÍS,226,289,244.3,63,250
86569,PUERTO CAICEDO,261,350,287.9,89,322
86571,PUERTO GUZMÁN,200,332,249.9,132,230
86573,PUERTO LEGUÍZAMO,149,233,184.4,84,206
86749,SIBUNDOY,2068,3693,2636.2,1625,2558
86755,SAN FRANCISCO,845,3590,2137.6,2745,2710
86757,SAN MIGUEL,263,326,294,63,289
86760,SANTIAGO,1322,3378,2436.6,2056,2745
86865,VALLE DEL GUAMUEZ,278,491,327.1,213,313
86885,VILLAGARZÓN,291,2213,672.5,1922,570
88001,SAN ANDRÉS,-4,55,4,59,55
88564,PROVIDENCIA,0,200,17.5,200,200
91001,LETICIA,63,140,86,77,140
91263,EL ENCANTO,96,201,125.7,105,150
91405,LA CHORRERA,107,179,132.8,72,179
91407,LA PEDRERA,62,99,78.7,37,90
91430,LA VICTORIA,110,177,130.2,67,177
91460,MIRITÍ - PARANÁ,76,204,130,128,155
91530,PUERTO ALEGRÍA,131,204,154,73,150
91536,PUERTO ARICA,84,148,108.6,64,148
91540,PUERTO NARIÑO,65,122,81.2,57,122
91669,PUERTO SANTANDER,94,170,121.9,76,170
91798,TARAPACÁ,67,141,82.7,74,113
94001,INÍRIDA,76,152,109,76,121
94343,BARRANCOMINAS,93,193,124,100,193
94663,MAPIRIPANA,110,199,160.7,89,183
94883,SAN FELIPE,80,137,102.9,57,120
94884,PUERTO COLOMBIA,87,192,122.2,105,139
94885,LA GUADALUPE,79,137,99.6,58,109
94886,CACAHUAL,77,111,89,34,103
94887,PANA PANA,107,202,155.1,95,171
94888,MORICHAL,118,223,163.2,105,161
95001,SAN JOSÉ DEL GUAVIARE,150,211,173,61,211
95015,CALAMAR,207,305,227.7,98,257
95025,EL RETORNO,142,260,181.3,118,184
95200,MIRAFLORES,168,243,203.6,75,205
97001,MITÚ,151,229,177,78,229
97161,CARURÚ,194,225,210.9,31,225
97511,PACOA,84,236,155.7,152,173
97666,TARAIRA,64,161,109.4,97,132
97777,PAPUNAHUA,141,212,174.9,71,208
97889,YAVARATÉ,99,175,155.9,76,175
99001,PUERTO CARREÑO,39,79,53.6,40,67
99524,LA PRIMAVERA,63,107,91.1,44,103
99624,SANTA ROSALÍA,101,142,121.3,41,142
99773,CUMARIBO,71,162,103.3,91,162
